ID,estimate,estimate.simplified
1,richness,richness
2,abundance,abundance
3,RedList.species,rare.richness
4,shannon.diversity,shannon
5,percent.cover,percent.cover
6,density,density
7,dung per ha,scat density
8,biomass,biomass
9,biomass (mg /g),biomass
10,biomass (g /m2),biomass
11,mean capture per trap,trapped.individuals
12,individuals per ha,density
13,biomass (g/m2),biomass
14,shrub abundance,abundance
15,tree abundance,abundance
16,understorey percent cover,percent.cover
17,trapped individuals,trapped.individuals
18,bird species per plot,density
19,ANPP,ANPP
20,microbial respiration (ug / g soil),microbial respiration (ug / g)
21,scat density,scat density
22,Microbial respiration (ug / g),microbial respiration (ug / g)
23,percent cover,percent.cover
24,microbial P (ug / g),microbial P (ug / g)
25,microbial N (ug / g),microbial N (ug / g)
26,proportion of sites,omit
27,flower abundance,flower abundance
28,root abundance,root abundance
29,density (no / m2),density
30,biomass (g / m2),biomass
31,Shannon-Diversity,shannon
32,evenness,evenness
33,diversity,diversity
34,daily mortality rate,daily mortality rate
35,daily predation rate,daily predation rate
36,number of territories,number of territories
37,plant height (cm),plant height
38,biomass (mg),biomass
39,vegetation height (PCA value),omit
40,perch height (cm),perch height
41,productivity,productivity
42,litter size,offspring.abd
43,Percent reproductive individuals,Percent reproductive individuals
44,Shannon Diversity,shannon
45,height (cm),height
46,number of offspring,offspring.abd
47,mean body mass (g),mean body mass
48,vegetation height (cm),height
49,juvenile survival,juvenile survival
50,fledgling survival,fledgling survival
51,nest success (%),nest success
52,soil denisty (per 200 m3),omit
53,breeding density (pairs per km2),density
54,total cover (%),percent.cover
55,rodent seed removal (g/tray/12 hour),GUD
56,ant seed removal (g/tray/12 hour),GUD
57,taxa,richness
58,numbers,abundance
59,Biomass(g),biomass
60,spores/g soil,spore density
61,clutch size,offspring.abd
62,interaction diversity,diversity
63,floral species richness,richness
64,biomass (g/m^2),biomass
65,captures/plot/100 trap nights,trapped.individuals
66,number caught ,trapped.individuals
67,abundance/100 trap days,trapped.individuals
68,species rich,richness
69,Species richness/g soil,richness
70,Spore abundance/g soil,spore density
71,,omit
72,richness/transect,richness
73,density/transect,density
74,species richness,richness
75,number/10x10cm area,density
76,abundance/pitfall trap,abundance
77,Total taxon richness,richness
78,cumulative hare droppings (number/m^2/day),scat density
79,Avg. optical density (OD590),omit
80,Species Richness/plot,richness
81,number/ha,density
82,abundance/sample,abundance
83,core area (ha),omit
84,home range (ha),home range
85,Species richness/pot,richness
86,Abundance/plot,abundance
87,ind./10ha,density
88,adults/1 km transect,abundance
89,nymphs/1 km transect,abundance
90,larvae/1 km transect,abundance
91,daily nest survival,nest success
92,birds/km fenceline,abundance
93,Lichen % cover,percent.cover
94,richness per site,richness
95,abundance per site,abundance
96,population density,density
97,percent occurance,occurrence
98,visitation frequency (#/5mins),visitation.rate
99,density (400 m2),density
100,Vegetation height (cm),height
101,total number,abundance
102,density/ha,density
103,cover depth (cm),percent.cover
104,Count,count
105,Height (cm),height
106,Canopy %Cover,percent.cover
107,individuals/ha,density
108,flowering.stem.density/ha,density
109,cover,percent.cover
110,count,count
111,biomass (kg/ha),biomass
112,pellet count,scat density
113,counts/rep/hour,count
114,captures/100 nights,trapped.individuals
115,termite abundance index,abundance
116,Shannon diversity,shannon
117,Arthropods/m5,omit
118,Arthropods/m4,omit
119,Arthropods/m3,omit
120,Arthropods/m2,omit
121,Arthropods/m9,omit
122,Arthropods/m8,omit
123,Arthropods/m7,omit
124,Arthropods/m6,omit
125,small mammal abundance/100 trap nights,trapped.individuals
126,change in birds/ha from beginning of experiment,omit
127,number of ant occupied trees,count
128,bird species richness,richness
129,bird abundance (observations/site),abundance
130,numbers/count,abundance
131,mycorrhizal fungal colonization intensity,omit
132,number of ants captured,abundance
133,interval survival,survival
134,%forb cover,percent.cover
135,% grass cover,percent.cover
