Estimate,estimate.simplified,est.reduced
vegetation height 0-15 cm,height,abundance
woody species cover,percent.cover,abundance
vegetation height 15-30 cm,height,abundance
vegetation height >30 cm,height,abundance
spring density/ha,density,abundance
winter density/ha,density,abundance
male density,density,abundance
female density,density,abundance
abundance of ant colony,abundance,abundance
grass height,height,abundance
visitor abundance,abundance,abundance
number flowers,abundance,abundance
density/m2,density,abundance
abundance of all taxa,abundance,abundance
number of territory,number of territory,abundance
Soil respiration (ul CO2 g/DW hour),soil respiration,abundance
Microbial biomass (ug biomass-C / g DW),biomass,abundance
Density of total Collembla (#/m2),density,abundance
microbial P (ug/gsoil) 10-20 cm,microbial mass,abundance
microbial N (ug/gsoil) 10-20 cm,microbial mass,abundance
microbial P (ug/gsoil) 0-10 cm,microbial mass,abundance
microbial N (ug/gsoil) 0-10 cm,microbial mass,abundance
microbial C (ug/gsoil) 10-20 cm,microbial mass,abundance
microbial C (ug/gsoil) 0-10 cm,microbial mass,abundance
percent occurrence,occurrence,abundance
n caught/400 trap nights,trapped.individuals,abundance
Canopy cover,percent.cover,abundance
Droppings,scat density,abundance
Frequency of Occurence,occurrence,abundance
proportion of habitat use,habitat area,abundance
Density,density,abundance
population size,abundance,abundance
Grass height,height,abundance
Grass cover (%),percent.cover,abundance
Grass height (cm),height,abundance
Density of active nests,nest.abd,abundance
Simpson Diversity Biomass,biomass,abundance
Shannon Diversity Abundance,abundance,abundance
Shannon Diversity Biomass,biomass,abundance
Simpson Diversity Abundance,abundance,abundance
Biomass (ug),biomass,abundance
Abundance (N),abundance,abundance
hare count,abundance,abundance
rabbit count,abundance,abundance
capture rate,trapped.individuals,abundance
rodent seed removal (g/tray/12 hour),GUD,behavioural
ant seed removal (g/tray/12 hour),GUD,behavioural
core area (ha),core area,behavioural
home range (ha),home range,behavioural
visitation frequency (#/5mins),visitation.rate,behavioural
preferred food pre-hibertion,food prehibernation,behavioural
preferred food post-hibertion,food posthibernation,behavioural
grazing time adult female,feeding.time,behavioural
grazing time adult male,feeding.time,behavioural
browsing time adult female,feeding.time,behavioural
traveling time adult male,travelling.time,behavioural
browsing time adult male,feeding.time,behavioural
grazing time adult yearling,feeding.time,behavioural
traveling time adult yearling,travelling.time,behavioural
browsing time adult yearling,feeding.time,behavioural
foraging efficiency,foraging efficiency,behavioural
visitors per plot,visitation.rate,behavioural
prop. flowers visite,visitation.rate,behavioural
visitation rate,visitation.rate,behavioural
visitor activity diversity,visitation.diversity,behavioural
flower visitation frequency,visitation.rate,behavioural
consumption/kg ha,consumption,behavioural
richness,richness,diversity
RedList.species,rare.richness,diversity
shannon.diversity,shannon,diversity
Shannon-Diversity,shannon,diversity
evenness,evenness,diversity
diversity,diversity,diversity
Shannon Diversity,shannon,diversity
taxa,richness,diversity
interaction diversity,diversity,diversity
floral species richness,richness,diversity
species rich,richness,diversity
Species richness/g soil,richness,diversity
richness/transect,richness,diversity
species richness,richness,diversity
Total taxon richness,richness,diversity
Species Richness/plot,richness,diversity
Species richness/pot,richness,diversity
richness per site,richness,diversity
Shannon diversity,shannon,diversity
bird species richness,richness,diversity
Richness,richness,diversity
grass diversity,diversity,diversity
forb diversity,diversity,diversity
Family richness,richness,diversity
grass richness,richness,diversity
grasshopper richness,richness,diversity
Number species,richness,diversity
Number ant species,richness,diversity
Exotic richness,richness,diversity
Native richness,richness,diversity
Number morphospecies,richness,diversity
eenness,evenness,diversity
adult richness,richness,diversity
shannon index,shannon,diversity
richness (1100 individuals),richness,diversity
richness of all species,richness,diversity
dimorphic richness,richness,diversity
large-eye richness,richness,diversity
carnivores richness,richness,diversity
short-winged richness,richness,diversity
herbivores richness,richness,diversity
long-winged richness,richness,diversity
small-eye richness,richness,diversity
bird diversity,diversity,diversity
richness at trap in dry season,richness,diversity
richness at trap in wet season,richness,diversity
richness at transect in dry season,richness,diversity
richness at transect in wet season,richness,diversity
richness at site in dry season,richness,diversity
richness at site in wet season,richness,diversity
adventive,richness,diversity
NT threatened species,rare.richness,diversity
TRE threatened species,rare.richness,diversity
transylvania endemic,richness,diversity
diurl TRE threatened species,richness,diversity
nocturl TRE threatened species,rare.richness,diversity
eastern europe endemic,rare.richness,diversity
diurl LC threatened species,rare.richness,diversity
diurl NT threatened species,rare.richness,diversity
nocturl,richness,diversity
nocturl LC threatened species,rare.richness,diversity
richness of nocturl,richness,diversity
richness of diurl,richness,diversity
LC threatened species,rare.richness,diversity
red-listed butterfly species richness,rare.richness,diversity
magement dependent plant species richness,richness,diversity
butterfly richness,richness,diversity
beetle richness,richness,diversity
hoverfly richness,richness,diversity
bee richness,richness,diversity
plant species richness,richness,diversity
bee richness without Apis mellifera,richness,diversity
bee richness with Apis mellifera,richness,diversity
Alatalo's evenness index of all species,evenness,diversity
N2 diversity index of all species,diversity,diversity
alpha evenness index of all species,diversity,diversity
richness of grassland species,richness,diversity
richness declining species,richness,diversity
richness non-declining species,richness,diversity
visitor richness,richness,diversity
richness of all taxa,richness,diversity
alpha diversity,diversity,diversity
beta diversity,diversity,diversity
number of total species,richness,diversity
Number of species vegetation and litter,richness,diversity
Number of species soil ,richness,diversity
diversity (H),diversity,diversity
Shannon Diversity Index,shannon,diversity
Grass diversity (H),diversity,diversity
Shannon evenness,shannon,diversity
daily mortality rate,daily mortality rate,fitness
daily predation rate,daily predation rate,fitness
litter size,offspring.abd,fitness
Percent reproductive individuals,Percent reproductive individuals,fitness
number of offspring,offspring.abd,fitness
juvenile survival,juvenile survival,fitness
fledgling survival,fledgling survival,fitness
nest success (%),nest success,fitness
clutch size,offspring.abd,fitness
daily nest survival,nest success,fitness
interval survival,survival,fitness
survival (artificial nest),survival,fitness
survival (tracking tunnel),survival,fitness
summer survival,survival,fitness
winter survival,survival,fitness
# pregancies,offspring.abd,fitness
brood size,offspring.abd,fitness
juveniles/female,offspring.abd,fitness
breeding success,breeding success,fitness
stage-specific survival,survival,fitness
Overwinter Survival,survival,fitness
nestling condition,nestling condition,fitness
vegetation height (PCA value),omit,omit
,omit,omit
Avg. optical density (OD590),omit,omit
Arthropods/m5,omit,omit
Arthropods/m4,omit,omit
Arthropods/m3,omit,omit
Arthropods/m2,omit,omit
Arthropods/m9,omit,omit
Arthropods/m8,omit,omit
Arthropods/m7,omit,omit
Arthropods/m6,omit,omit
change in birds/ha from beginning of experiment,omit,omit
10^9 cells/g,omit,omit
% cover decreasers,omit,omit
% cover increases,omit,omit
Hurlbert?s PIE (Family),omit,omit
Hurlbert?s PIE (species),omit,omit
litter depth,omit,omit
Margalef?s family,omit,omit
Margalef?s species,omit,omit
brown cover,omit,omit
letter cover,omit,omit
% predators,omit,omit
bare ground,omit,omit
% Family dominance,omit,omit
% Species dominance,omit,omit
height heterogeneity,omit,omit
Bare soil cover,omit,omit
Number orders,omit,omit
Total,omit,omit
nearest neighbour distance,omit,omit
immunoreactive corticosterone metabolites (Female),omit,omit
immunoreactive corticosterone metabolites (Male),omit,omit
size,omit,omit
composition (axis 1),omit,omit
composition (axis 2),omit,omit
relative abundance,omit,omit
richness of space web builders,omit,omit
richness of ground runners,omit,omit
coarse woody debris cover m3,omit,omit
abundance of space web builders,omit,omit
richness of forest specialist,omit,omit
abundance of ground runners,omit,omit
richness of wandering sheet/tangle weavers,omit,omit
abundance of forest specialist,omit,omit
abundance of wandering sheet/tangle weavers,omit,omit
bareground,omit,omit
total food post-hibertion ,omit,omit
total food pre-hibertion ,omit,omit
structural heterogeneity,omit,omit
Width,omit,omit
Length,omit,omit
Fungivores abundance,omit,omit
Bacterivores abundance,omit,omit
"density of insectivorous, ground-feeding migrants (n/ha)",omit,omit
"density of Insectivorous, arboreal residents (n/ha)",omit,omit
"density of insectivorous, arboreal migrants (n/ha)",omit,omit
"density of insectivorous, ground-feeding residents (n/ha)",omit,omit
density of granivorous ground-feeding residents (n/ha),omit,omit
cover of dicots,omit,omit
cover of monocots,omit,omit
nutrient exchange site colonization,omit,omit
percentage of root colonization with vesicles,omit,omit
percentage of root colonization with hyphal,omit,omit
percentage of root colonization with mycorrhiza hyphal,omit,omit
percentage of root with arbuscule colonization,omit,omit
feeding seconds/step,omit,omit
traveling time adult female,omit,omit
fractial dimension,omit,omit
mean step length,omit,omit
"net displacement, m",omit,omit
heterogeneith of vegetation height (CV percentage),omit,omit
widespread,omit,omit
insect pollited plant richness,omit,omit
insect pollited plant cover,omit,omit
Alatalo's evenness index of grassland species,omit,omit
alpha evenness index of grassland species,omit,omit
N2 diversity index of grassland species,omit,omit
N1 diversity index of grassland species,omit,omit
grassland rarefied species,omit,omit
N1 diversity index of all species,omit,omit
all rarefied species,omit,omit
brood percentage,omit,omit
small insectivorous local extinction/recolonization,omit,omit
tree/shrub foragers local extinction/recolonization,omit,omit
large insectivorous local extinction/recolonization,omit,omit
small mixed diet local extinction/recolonization,omit,omit
mixed diet local extinction/recolonization,omit,omit
individual theft,omit,omit
individual walking,omit,omit
individual sucking,omit,omit
individual nesting,omit,omit
individual running,omit,omit
individual robbery,omit,omit
individual in copule,omit,omit
individual searching,omit,omit
individual flying,omit,omit
individual resting,omit,omit
prop. switching visitors,omit,omit
individual collecting pollen,visitation.rate,behavioural
individual feeding on pollen,forgaging,behavioural
number of switching visitors,omit,omit
number of plant visited,visitation.rate,behavioural
individual feeding on nector,nectar.feeding,behavioural
grasshopper days,omit,omit
grasshopper days for all species,omit,omit
standardized species richness,omit,omit
richness of generalist species,omit,omit
richness of specialist species,omit,omit
abundance of generalist species,omit,omit
abundance of specialist species,omit,omit
number of species asscociated with sandy soils,omit,omit
number of vegetation dwelling species asscociated with sandy soils,omit,omit
number of vegetatioin dwelling species,omit,omit
Visual obstruction (score),omit,omit
Fecal Egg Count,fecal egg count,abundance
Trap success (%),omit,omit
Daily survival rate incubation,survival,fitness
Daily survival rate chick,survival,fitness
% abundance,omit,omit
% total abundance,omit,omit
