Estimate,estimate.simplified,est.reduced
abundance,abundance,abundance
percent.cover,percent.cover,abundance
density,density,abundance
dung per ha,scat density,abundance
biomass,biomass,abundance
biomass (mg /g),biomass,abundance
biomass (g /m2),biomass,abundance
mean capture per trap,trapped.individuals,abundance
individuals per ha,density,abundance
biomass (g/m2),biomass,abundance
shrub abundance,abundance,abundance
tree abundance,abundance,abundance
understorey percent cover,percent.cover,abundance
trapped individuals,trapped.individuals,abundance
bird species per plot,density,abundance
ANPP,ANPP,abundance
microbial respiration (ug / g soil),microbial respiration (ug / g),abundance
scat density,scat density,abundance
Microbial respiration (ug / g),microbial respiration (ug / g),abundance
percent cover,percent.cover,abundance
microbial P (ug / g),microbial P (ug / g),abundance
microbial N (ug / g),microbial N (ug / g),abundance
proportion of sites,abundance,abundance
flower abundance,flower abundance,abundance
root abundance,root abundance,abundance
density (no / m2),density,abundance
biomass (g / m2),biomass,abundance
number of territories,number of territories,abundance
plant height (cm),plant height,abundance
biomass (mg),biomass,abundance
perch height (cm),perch height,abundance
productivity,productivity,abundance
height (cm),height,abundance
mean body mass (g),mean body mass,abundance
vegetation height (cm),height,abundance
soil denisty (per 200 m3),density,abundance
breeding density (pairs per km2),density,abundance
total cover (%),percent.cover,abundance
numbers,abundance,abundance
Biomass(g),biomass,abundance
spores/g soil,spore density,abundance
biomass (g/m^2),biomass,abundance
captures/plot/100 trap nights,trapped.individuals,abundance
number caught ,trapped.individuals,abundance
abundance/100 trap days,trapped.individuals,abundance
Spore abundance/g soil,spore density,abundance
density/transect,density,abundance
number/10x10cm area,density,abundance
abundance/pitfall trap,abundance,abundance
cumulative hare droppings (number/m^2/day),scat density,abundance
number/ha,density,abundance
abundance/sample,abundance,abundance
Abundance/plot,abundance,abundance
ind./10ha,density,abundance
adults/1 km transect,abundance,abundance
nymphs/1 km transect,abundance,abundance
larvae/1 km transect,abundance,abundance
birds/km fenceline,abundance,abundance
Lichen % cover,percent.cover,abundance
abundance per site,abundance,abundance
population density,density,abundance
percent occurance,occurrence,abundance
density (400 m2),density,abundance
Vegetation height (cm),height,abundance
total number,abundance,abundance
density/ha,density,abundance
cover depth (cm),percent.cover,abundance
Count,count,abundance
Height (cm),height,abundance
Canopy %Cover,percent.cover,abundance
individuals/ha,density,abundance
flowering.stem.density/ha,density,abundance
cover,percent.cover,abundance
count,count,abundance
biomass (kg/ha),biomass,abundance
pellet count,scat density,abundance
counts/rep/hour,count,abundance
captures/100 nights,trapped.individuals,abundance
termite abundance index,abundance,abundance
small mammal abundance/100 trap nights,trapped.individuals,abundance
number of ant occupied trees,count,abundance
bird abundance (observations/site),abundance,abundance
numbers/count,abundance,abundance
mycorrhizal fungal colonization intensity,abundance,abundance
number of ants captured,abundance,abundance
%forb cover,percent.cover,abundance
% grass cover,percent.cover,abundance
burrow density,burrow.density,abundance
individuals/g,density,abundance
Abundance,abundance,abundance
birds/plot,density,abundance
height,height,abundance
% cover bare,percent.cover,abundance
% cover fob,percent.cover,abundance
% cover grass,percent.cover,abundance
canopy height,height,abundance
green cover',percent.cover,abundance
Total individuals,abundance,abundance
residual wing length,wing.length,abundance
grasshopper body length,body.length,abundance
vegetation height,height,abundance
grasshopper abundance,abundance,abundance
percent grass canopy,percent.cover,abundance
Number lizard scat,scat density,abundance
shrub cover,percent.cover,abundance
Tree cover,percent.cover,abundance
Forb cover,percent.cover,abundance
Shrub cover,percent.cover,abundance
Vegetation cover,percent.cover,abundance
Height,height,abundance
Grass cover,percent.cover,abundance
Native cover,percent.cover,abundance
Exotic cover,percent.cover,abundance
hyphal length,hyphal.length,abundance
spore density,spore density,abundance
quantity,abundance,abundance
soil microbial biomass carbon abundance,biomass,abundance
abundance (nymphss;  21-24 july),abundance,abundance
abundance (nymphss; 14-17 july),abundance,abundance
abundance (nymphss; 8-13 july),abundance,abundance
abundance (nymphss; 5-8 august),abundance,abundance
abundance (adults; 14-17 july),abundance,abundance
abundance (adults; 5-8 august),abundance,abundance
abundance (adults;  21-24 july),abundance,abundance
abundance (adults; 8-13 july),abundance,abundance
burrow entrances,burrow.density,abundance
density (survey),density,abundance
density (baited trap),density,abundance
abundance (grass),abundance,abundance
belowground biomass,biomass,abundance
aboveground biomass,biomass,abundance
mound density,density,abundance
mound basal area,density,abundance
body mass,body.mass,abundance
abundance of all species,abundance,abundance
ground vegetation cover,percent.cover,abundance
litter cover,percent.cover,abundance
fine woody debris cover,percent.cover,abundance
proportiol body mass growth rate,body mass growth rate,abundance
post-hibertion abundance across years,abundance,abundance
pre-hibertion abundance across years,abundance,abundance
body mass g,body.mass,abundance
total biomass,biomass,abundance
large-eye abundance,abundance,abundance
carnivores abundance,abundance,abundance
short-winged abundance,abundance,abundance
herbivores abundance,abundance,abundance
long-winged abundance,abundance,abundance
dimorphic abundance,abundance,abundance
small-eye abundance,abundance,abundance
Bodysize,body.size,abundance
l.w.ratio,l.w.ratio,abundance
Predators abundance,abundance,abundance
Omnivores abundance,abundance,abundance
Plant_feeders abundance,abundance,abundance
biomass (?g/ kg dry soil),biomass,abundance
Total abundance,abundance,abundance
percentage of woody species cover,percent.cover,abundance
density of all bird species (n/ha),density,abundance
litter,litter.cover,abundance
cover of total vegetation,percent.cover,abundance
density per ha,density,abundance
number of nests,nest.abd,abundance
number of solitary caterpillars,abundance,abundance
growth rate,growth.rate,abundance
percent root length colonization,root.colonization,abundance
vesicle colonization,vesicle colonization,abundance
groundcover biomass gm2 at range wide,biomass,abundance
groundcover biomass gm2 at foraging site,biomass,abundance
browse biomass gm2 at range wide,biomass,abundance
browse biomass gm2 at foraging site,biomass,abundance
proportion of shallow burrows remaing intact,burrow.density,abundance
proportion of deep burrows remaing intact,burrow.density,abundance
burrow depth,burrow.depth,abundance
Abundance of ecotone species,abundance,abundance
Abundance of grassland species,abundance,abundance
Abundance of shrub species,abundance,abundance
Abundance of woodland species,abundance,abundance
tree cover,percent.cover,abundance
"vegetation height, cm",height,abundance
canopy cover,percent.cover,abundance
abundance of nocturl,abundance,abundance
abundance of diurl,abundance,abundance
beetle abundance,abundance,abundance
butterfly abundance,abundance,abundance
hoverfly abundance,abundance,abundance
bee abundance,abundance,abundance
bee abundance without Apis mellifera,abundance,abundance
bee abundance with Apis mellifera,abundance,abundance
abundance of grassland species,abundance,abundance
density declining species,density,abundance
density non-declining species,density,abundance
