uniqueID,Search,Title,Authors,Source Title,Publication Date,Publication Year,Volume,Issue,Beginning Page,Ending Page,DOI,Total Citations,Average per Year
1,A,Changes in the abundance of farmland birds in relation to the timing of agricultural intensification in England and Wales,"Chamberlain, DE; Fuller, RJ; Bunce, RGH; Duckworth, JC; Shrubb, M",JOURNAL OF APPLIED ECOLOGY,Oct-00,2000,37,5,771,788,10.1046/j.1365-2664.2000.00548.x,570,30
2,A,MICROBIAL AND FAUNAL INTERACTIONS AND EFFECTS ON LITTER NITROGEN AND DECOMPOSITION IN AGROECOSYSTEMS,"BEARE, MH; PARMELEE, RW; HENDRIX, PF; CHENG, WX; COLEMAN, DC; CROSSLEY, DA",ECOLOGICAL MONOGRAPHS,Dec-92,1992,62,4,569,591,10.2307/2937317,370,13.7
3,A,"EFFECTS OF GRAZING, COMPETITION, DISTURBANCE AND FIRE ON SPECIES COMPOSITION AND DIVERSITY IN GRASSLAND COMMUNITIES","BELSKY, JA",JOURNAL OF VEGETATION SCIENCE,Apr-92,1992,3,2,187,200,,234,8.67
4,A,Ungulate vs. landscape control of soil C and N processes in grasslands of Yellowstone National Park,"Frank, DA; Groffman, PM",ECOLOGY,Oct-98,1998,79,7,2229,2241,10.1890/0012-9658(1998)079[2229:UVLCOS]2.0.CO;2,225,10.71
5,A,Contrasting responses of plant and insect diversity to variation in grazing intensity,"Kruess, A; Tscharntke, T",BIOLOGICAL CONSERVATION,Aug-02,2002,106,3,293,302,10.1016/S0006-3207(01)00255-5,209,12.29
6,A,How grazing and soil quality affect native and exotic plant diversity in rocky mountain grasslands,"Stohlgren, TJ; Schell, LD; Vanden Heuvel, B",ECOLOGICAL APPLICATIONS,Feb-99,1999,9,1,45,64,,208,10.4
7,A,Fire and grazing regulate belowground processes in tallgrass prairie,"Johnson, LC; Matchett, JR",ECOLOGY,Dec-01,2001,82,12,3377,3389,10.2307/2680159,205,11.39
8,A,"Grazing intensity and the diversity of grasshoppers, butterflies, and trap-nesting bees and wasps","Kruess, A; Tscharntke, T",CONSERVATION BIOLOGY,Dec-02,2002,16,6,1570,1580,10.1046/j.1523-1739.2002.01334.x,200,11.76
9,A,"Fire treatment effects on vegetation structure, fuels, and potential fire severity in western US forests","Stephens, Scott L.; Moghaddas, Jason J.; Edminster, Carl; Fiedler, Carl E.; Haase, Sally; Harrington, Michael; Keeley, Jon E.; Knapp, Eric E.; McIver, James D.; Metlen, Kerry; Skinner, Carl N.; Youngblood, Andrew",ECOLOGICAL APPLICATIONS,Mar-09,2009,19,2,305,320,10.1890/07-1755.1,192,19.2
10,A,"Grazing intensity and ecosystem processes in a northern mixed-grass prairie, USA","Biondini, ME; Patton, BD; Nyren, PE",ECOLOGICAL APPLICATIONS,May-98,1998,8,2,469,479,10.2307/2641087,191,9.1
11,A,DIRECT AND INDIRECT EFFECTS OF CRAYFISH GRAZING IN A STREAM COMMUNITY,"CREED, RP",ECOLOGY,Oct-94,1994,75,7,2091,2103,10.2307/1941613,186,7.44
12,A,Conservation management of calcareous grasslands. Changes in plant species composition and response of functional traits during 25 years,"Kahmen, S; Poschlod, P; Schreiber, KF",BIOLOGICAL CONSERVATION,Apr-02,2002,104,3,319,328,10.1016/S0006-3207(01)00197-5,181,10.65
13,A,Effects of climate and management intensity on nitrous oxide emissions in grassland systems across Europe,"Flechard, C. R.; Ambus, P.; Skiba, U.; Rees, R. M.; Hensen, A.; van Amstel, A.; van den Pol-van Dasselaar, A.; Soussana, J-F; Jones, M.; Clifton-Brown, J.; Raschi, A.; Horvath, L.; Neftel, A.; Jocher, M.; Ammann, C.; Leifeld, J.; Fuhrer, J.; Calanca, P.; Thalman, E.; Pilegaard, K.; Di Marco, C.; Campbell, C.; Nemitz, E.; Hargreaves, K. J.; Levy, P. E.; Ball, B. C.; Jones, S. K.; van de Bulk, W. C. M.; Groot, T.; Blom, M.; Domingues, R.; Kasper, G.; Allard, V.; Ceschia, E.; Cellier, P.; Laville, P.; Henault, C.; Bizouard, F.; Abdalla, M.; Williams, M.; Baronti, S.; Berretti, F.; Grosz, B.",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,Jun-07,2007,121,01-Feb,135,152,10.1016/j.agee.2006.12.024,177,14.75
14,A,Herbivores inhibit climate-driven shrub expansion on the tundra,"Olofsson, Johan; Oksanen, Lauri; Callaghan, Terry; Hulme, Philip E.; Oksanen, Tarja; Suominen, Otso",GLOBAL CHANGE BIOLOGY,Nov-09,2009,15,11,2681,2693,10.1111/j.1365-2486.2009.01935.x,174,17.4
15,A,"Assessing the rate, mechanisms, and consequences of the conversion of tallgrass prairie to Juniperus virginiana forest","Briggs, JM; Hoch, GA; Johnson, LC",ECOSYSTEMS,Sep-02,2002,5,6,578,586,10.1007/s10021-002-0187-4,174,10.24
16,A,Effects of white-tailed deer on populations of an understory forb in fragmented deciduous forests,"Augustine, DJ; Frelich, LE",CONSERVATION BIOLOGY,Oct-98,1998,12,5,995,1004,10.1046/j.1523-1739.1998.97248.x,170,8.1
17,A,Tree spacing and coexistence in semiarid savannas,"Jeltsch, F; Milton, SJ; Dean, WRJ; VanRooyen, N",JOURNAL OF ECOLOGY,Aug-96,1996,84,4,583,595,10.2307/2261480,167,7.26
18,A,Shrub invasion of grassland: Recruitment is continuous and not regulated by herbaceous biomass or density,"Brown, JR; Archer, S",ECOLOGY,Oct-99,1999,80,7,2385,2396,,164,8.2
19,A,FIRE AND GRAZING IN THE TALLGRASS PRAIRIE - CONTINGENT EFFECTS ON NITROGEN BUDGETS,"HOBBS, NT; SCHIMEL, DS; OWENSBY, CE; OJIMA, DS",ECOLOGY,Aug-91,1991,72,4,1374,1382,10.2307/1941109,160,5.71
20,A,Effects of habitat complexity and composition on a diverse litter microarthropod assemblage,"Hansen, RA",ECOLOGY,Apr-00,2000,81,4,1120,1132,,159,8.37
21,A,Impact of China's Grain for Green Project on the landscape of vulnerable arid and semi-arid agricultural regions: a case study in northern Shaanxi Province,"Cao, Shixiong; Chen, Li; Yu, Xinxiao",JOURNAL OF APPLIED ECOLOGY,Jun-09,2009,46,3,536,543,10.1111/j.1365-2664.2008.01605.x,157,15.7
22,A,Effects of native grazers on grassland N cycling in Yellowstone National Park,"Frank, DA; Evans, RD",ECOLOGY,Oct-97,1997,78,7,2238,2248,10.2307/2265959,154,7
23,A,"Effects of bison grazing, fire, and topography on floristic diversity in tallgrass prairie","Hartnett, DC; Hickman, KR; Walter, LEF",JOURNAL OF RANGE MANAGEMENT,Sep-96,1996,49,5,413,420,10.2307/4002922,152,6.61
24,A,"Cars, cows, and checkerspot butterflies: Nitrogen deposition and management of nutrient-poor grasslands for a threatened species","Weiss, SB",CONSERVATION BIOLOGY,Dec-99,1999,13,6,1476,1486,10.1046/j.1523-1739.1999.98468.x,146,7.3
