uniqueID,siteID,year,replicate,grazing.compare,last.grazed,grazing.estimate,grazing.value,Taxa,Genus,Species,Status,Estimate,Stat,Value,Smaller taxonomic rank,Pollution tolerance value,Functional feeding group,Habit
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,,,,percent occurrence,count,21,Planariidae,Tolerant,Collector-Gatherer,Sprawler
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,,,,percent occurrence,count,13,Planariidae,Tolerant,Collector-Gatherer,Sprawler
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,,,,percent occurrence,count,57,Planariidae,Tolerant,Collector-Gatherer,Sprawler
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,,,,percent occurrence,count,23,Planariidae,Tolerant,Collector-Gatherer,Sprawler
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,,,,percent occurrence,count,22,Planariidae,Tolerant,Collector-Gatherer,Sprawler
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Nematoda,,,,percent occurrence,count,63,,Tolerant,Collector-Gatherer,Burrower
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Nematoda,,,,percent occurrence,count,78,,Tolerant,Collector-Gatherer,Burrower
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Nematoda,,,,percent occurrence,count,74,,Tolerant,Collector-Gatherer,Burrower
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Nematoda,,,,percent occurrence,count,50,,Tolerant,Collector-Gatherer,Burrower
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Nematoda,,,,percent occurrence,count,61,,Tolerant,Collector-Gatherer,Burrower
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Annelida,,,,percent occurrence,count,100,Oligochaeta,Tolerant,Collector-Gatherer,Burrower
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Annelida,,,,percent occurrence,count,100,Oligochaeta,Tolerant,Collector-Gatherer,Burrower
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Annelida,,,,percent occurrence,count,96,Oligochaeta,Tolerant,Collector-Gatherer,Burrower
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Annelida,,,,percent occurrence,count,95,Oligochaeta,Tolerant,Collector-Gatherer,Burrower
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Annelida,,,,percent occurrence,count,100,Oligochaeta,Tolerant,Collector-Gatherer,Burrower
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Annelida,,,,percent occurrence,count,0,Hirudiniea,Tolerant,Predator,Sprawler
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Annelida,,,,percent occurrence,count,0,Hirudiniea,Tolerant,Predator,Sprawler
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Annelida,,,,percent occurrence,count,9,Hirudiniea,Tolerant,Predator,Sprawler
