uniqueID,siteID,year,replicate,grazing.compare,last.grazed (year),grazing.estimate,grazing.value,Taxa,Genus,Species,Status,Estimate,Stat,Value,Functional Group,Unit,,,,,
1302,PA: prosopis woodland,2001; 2002,,ungrazed,50,NA,NA,small mammal,Akodon,molinae,NA,abundance,count,40,NA,,,,,,
1302,PA: prosopis woodland,2001; 2002,,ungrazed,50,NA,NA,small mammal,Graomys,griseoflavus,NA,abundance,count,62,NA,,,,,,
1302,PA: prosopis woodland,2001; 2002,,ungrazed,50,NA,NA,small mammal,Calomys,musculinus,NA,abundance,count,21,NA,,,,,,
1302,PA: prosopis woodland,2001; 2002,,ungrazed,50,NA,NA,small mammal,Eligmodontia,typus,NA,abundance,count,7,NA,,,,,,
1302,PA: prosopis woodland,2001; 2002,20,ungrazed,50,NA,NA,medium-sized mammal,Dolichotis,patagonum,NA,abundance,count,0,NA,,,,,,
1302,PA: prosopis woodland,2001; 2002,20,ungrazed,50,NA,NA,medium-sized mammal,Microcavia,australis,NA,abundance,count,25,NA,,,,,,
1302,PA: prosopis woodland,2001; 2002,20,ungrazed,50,NA,NA,medium-sized mammal,Galea,leucoblephara,NA,abundance,count,75,NA,,,,,,
1302,PA: prosopis woodland,2001; 2002,20,ungrazed,50,NA,NA,medium-sized mammal,Lepus,europaeus,NA,abundance,count,0,NA,,,,,,
1302,PA: prosopis woodland,2001; 2002,,ungrazed,50,NA,NA,small and medium mammal,NA,NA,NA,richness,count,7,NA,,,,,,
1302,PA: Larrea shrubland,2001; 2002,,ungrazed,50,NA,NA,small mammal,Akodon,molinae,NA,abundance,count,113,NA,,,,,,
1302,PA: Larrea shrubland,2001; 2002,,ungrazed,50,NA,NA,small mammal,Graomys,griseoflavus,NA,abundance,count,69,NA,,,,,,
1302,PA: Larrea shrubland,2001; 2002,,ungrazed,50,NA,NA,small mammal,Calomys,musculinus,NA,abundance,count,47,NA,,,,,,
1302,PA: Larrea shrubland,2001; 2002,,ungrazed,50,NA,NA,small mammal,Eligmodontia,typus,NA,abundance,count,7,NA,,,,,,
1302,PA: Larrea shrubland,2001; 2002,24,ungrazed,50,NA,NA,medium-sized mammal,Dolichotis,patagonum,NA,abundance,count,0,NA,,,,,,
1302,PA: Larrea shrubland,2001; 2002,24,ungrazed,50,NA,NA,medium-sized mammal,Microcavia,australis,NA,abundance,count,0,NA,,,,,,
1302,PA: Larrea shrubland,2001; 2002,24,ungrazed,50,NA,NA,medium-sized mammal,Galea,leucoblephara,NA,abundance,count,142,NA,,,,,,
1302,PA: Larrea shrubland,2001; 2002,24,ungrazed,50,NA,NA,medium-sized mammal,Lepus,europaeus,NA,abundance,count,0,NA,,,,,,
1302,PA: Larrea shrubland,2001; 2002,,ungrazed,50,NA,NA,small and medium mammal,NA,NA,NA,richness,count,6,NA,,,,,,
1302,PA: Sand dunes,2001; 2002,,ungrazed,50,NA,NA,small mammal,Akodon,molinae,NA,abundance,count,41,NA,,,,,,
1302,PA: Sand dunes,2001; 2002,,ungrazed,50,NA,NA,small mammal,Graomys,griseoflavus,NA,abundance,count,56,NA,,,,,,
1302,PA: Sand dunes,2001; 2002,,ungrazed,50,NA,NA,small mammal,Calomys,musculinus,NA,abundance,count,21,NA,,,,,,
1302,PA: Sand dunes,2001; 2002,,ungrazed,50,NA,NA,small mammal,Eligmodontia,typus,NA,abundance,count,21,NA,,,,,,
1302,PA: Sand dunes,2001; 2002,30,ungrazed,50,NA,NA,medium-sized mammal,Dolichotis,patagonum,NA,abundance,count,0,NA,,,,,,
1302,PA: Sand dunes,2001; 2002,30,ungrazed,50,NA,NA,medium-sized mammal,Microcavia,australis,NA,abundance,count,0,NA,,,,,,
1302,PA: Sand dunes,2001; 2002,30,ungrazed,50,NA,NA,medium-sized mammal,Galea,leucoblephara,NA,abundance,count,3,NA,,,,,,
1302,PA: Sand dunes,2001; 2002,30,ungrazed,50,NA,NA,medium-sized mammal,Lepus,europaeus,NA,abundance,count,5,NA,,,,,,
1302,PA: Sand dunes,2001; 2002,,ungrazed,50,NA,NA,small and medium mammal,NA,NA,NA,richness,count,7,NA,,,,,,
1302,UA: prosopis woodland,2001; 2002,,grazed,0,feces frequency,middle,small mammal,Akodon,molinae,NA,abundance,count,68,NA,,,,,,
1302,UA: prosopis woodland,2001; 2002,,grazed,0,feces frequency,middle,small mammal,Graomys,griseoflavus,NA,abundance,count,53,NA,,,,,,
1302,UA: prosopis woodland,2001; 2002,,grazed,0,feces frequency,middle,small mammal,Calomys,musculinus,NA,abundance,count,17,NA,,,,,,
1302,UA: prosopis woodland,2001; 2002,,grazed,0,feces frequency,middle,small mammal,Eligmodontia,typus,NA,abundance,count,9,NA,,,,,,
1302,UA: prosopis woodland,2001; 2002,20,grazed,0,feces frequency,middle,medium-sized mammal,Dolichotis,UAtagonum,NA,abundance,count,202,NA,,,,,,
1302,UA: prosopis woodland,2001; 2002,20,grazed,0,feces frequency,middle,medium-sized mammal,Microcavia,australis,NA,abundance,count,128,NA,,,,,,
1302,UA: prosopis woodland,2001; 2002,20,grazed,0,feces frequency,middle,medium-sized mammal,Galea,leucoblephara,NA,abundance,count,59,NA,,,,,,
1302,UA: prosopis woodland,2001; 2002,20,grazed,0,feces frequency,middle,medium-sized mammal,Lepus,euroUAeus,NA,abundance,count,154,NA,,,,,,
1302,UA: prosopis woodland,2001; 2002,,grazed,0,feces frequency,middle,small and medium mammal,NA,NA,NA,richness,count,9,NA,,,,,,
1302,UA: Larrea shrubland,2001; 2002,,grazed,0,feces frequency,highest,small mammal,Akodon,molinae,NA,abundance,count,39,NA,,,,,,
1302,UA: Larrea shrubland,2001; 2002,,grazed,0,feces frequency,highest,small mammal,Graomys,griseoflavus,NA,abundance,count,46,NA,,,,,,
1302,UA: Larrea shrubland,2001; 2002,,grazed,0,feces frequency,highest,small mammal,Calomys,musculinus,NA,abundance,count,42,NA,,,,,,
1302,UA: Larrea shrubland,2001; 2002,,grazed,0,feces frequency,highest,small mammal,Eligmodontia,typus,NA,abundance,count,18,NA,,,,,,
1302,UA: Larrea shrubland,2001; 2002,24,grazed,0,feces frequency,highest,medium-sized mammal,Dolichotis,UAtagonum,NA,abundance,count,18,NA,,,,,,
1302,UA: Larrea shrubland,2001; 2002,24,grazed,0,feces frequency,highest,medium-sized mammal,Microcavia,australis,NA,abundance,count,25,NA,,,,,,
1302,UA: Larrea shrubland,2001; 2002,24,grazed,0,feces frequency,highest,medium-sized mammal,Galea,leucoblephara,NA,abundance,count,21,NA,,,,,,
1302,UA: Larrea shrubland,2001; 2002,24,grazed,0,feces frequency,highest,medium-sized mammal,Lepus,euroUAeus,NA,abundance,count,21,NA,,,,,,
1302,UA: Larrea shrubland,2001; 2002,,grazed,0,feces frequency,highest,small and medium mammal,NA,NA,NA,richness,count,9,NA,,,,,,
1302,UA: Sand dunes,2001; 2002,,grazed,0,feces frequency,lowest,small mammal,Akodon,molinae,NA,abundance,count,29,NA,,,,,,
1302,UA: Sand dunes,2001; 2002,,grazed,0,feces frequency,lowest,small mammal,Graomys,griseoflavus,NA,abundance,count,41,NA,,,,,,
1302,UA: Sand dunes,2001; 2002,,grazed,0,feces frequency,lowest,small mammal,Calomys,musculinus,NA,abundance,count,18,NA,,,,,,
1302,UA: Sand dunes,2001; 2002,,grazed,0,feces frequency,lowest,small mammal,Eligmodontia,typus,NA,abundance,count,31,NA,,,,,,
1302,UA: Sand dunes,2001; 2002,30,grazed,0,feces frequency,lowest,medium-sized mammal,Dolichotis,UAtagonum,NA,abundance,count,0,NA,,,,,,
1302,UA: Sand dunes,2001; 2002,30,grazed,0,feces frequency,lowest,medium-sized mammal,Microcavia,australis,NA,abundance,count,13,NA,,,,,,
1302,UA: Sand dunes,2001; 2002,30,grazed,0,feces frequency,lowest,medium-sized mammal,Galea,leucoblephara,NA,abundance,count,8,NA,,,,,,
1302,UA: Sand dunes,2001; 2002,30,grazed,0,feces frequency,lowest,medium-sized mammal,Lepus,euroUAeus,NA,abundance,count,30,NA,,,,,,
